user_id,youtube_username,picture_url,scenes_id,scenes_name,video_schedule_id,video_published_id,video_title,twitter_response_id,facebook_response,fb_like,tw_like,yt_like,total_likes,fb_view,yt_view,total_view,fb_numeric_id,twitter_numeric_id
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",105,D-4WxzodBBY,"test 34",,164386654140946,,,0,0,,0,0,155938808319064,865171357801172992
18,"AHIC Karhal",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",21,JPn_Uz5qZlg,"top Institute in delhi",,,,,,0,,,0,,
23,"Rashid Alig",https://lh4.googleusercontent.com/-amT6QxvgaJ0/AAAAAAAAAAI/AAAAAAAABt4/u-4eJZirlaI/photo.jpg,1,"first scenes",129,QPy4J2TM1a8,"XtraTalent - Video Tutorial",,,,,0,0,,0,0,10210662038481480,4339234994
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",9,QBbQ9MbbG-8,test,,,,,,0,,,0,155938808319064,865171357801172992
29,"Schosys India",https://lh6.googleusercontent.com/-W3Y6GK0F1D0/AAAAAAAAAAI/AAAAAAAAADY/he8km4kcZEY/photo.jpg,1,"first scenes",91,RbGt6_w1HeE,"Facebook New Test",,,,,0,0,,2,2,315018915633735,848628872119820291
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",42,8S9hvBbX4KQ,test2,,125281568051455,,,,0,,,0,155938808319064,865171357801172992
29,"Schosys India",https://lh6.googleusercontent.com/-W3Y6GK0F1D0/AAAAAAAAAAI/AAAAAAAAADY/he8km4kcZEY/photo.jpg,1,"first scenes",110,JvD0UYWsHWs,Wowdance,,,,,0,0,,0,0,315018915633735,848628872119820291
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",49,E4By_Kf2CKc,test,,,,,,0,,,0,155938808319064,865171357801172992
29,"Schosys India",https://lh6.googleusercontent.com/-W3Y6GK0F1D0/AAAAAAAAAAI/AAAAAAAAADY/he8km4kcZEY/photo.jpg,1,"first scenes",112,q1Fat-6h998,"last try",,,,,0,0,,0,0,315018915633735,848628872119820291
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",53,kUdER9FaC2Q,Tesr,902464323548733495,125805414665737,,,,0,,,0,155938808319064,865171357801172992
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",89,MTpr9GsfU6A,test,,,,,0,0,,0,0,155938808319064,865171357801172992
29,"Schosys India",https://lh6.googleusercontent.com/-W3Y6GK0F1D0/AAAAAAAAAAI/AAAAAAAAADY/he8km4kcZEY/photo.jpg,1,"first scenes",115,aXWgEcNI5LE,Hii,,,,,,0,,,0,315018915633735,848628872119820291
